"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW9,SW43,SW48,SW21,SW26,SW29,SW52,SW61,SW64,SW56,SW62,SW2,SW54,SW31,SW65,SW25,SW4,SW14,SW8,SW6,SW5,SW67,SW46,SW66,SW18,SW20,SW37,SW1,SW24,SW57,SW27,SW68,SW36,SW32,SW3,SW58,SW33,SW63,SW53,SW22,SW60,SW44,SW11,SW39,SW7,SW23,SW13,SW55,SW10,SW41,SW51,SW12,SW49,SW47,SW17,SW28,SW59,SW19,SW16,SW42,SW50,SW38,SW15,SW30,SW45,SW69";"Low-Profile-Choc-MX";66;"SW_Push_45deg";"Switches";"https://chosfox.com/collections/kailh-low-profile-switch-pg1350/products/kailh-chocs?variant=42514647613634";
2;"J2,J1";"TRRS-PJ-320A";2;"AudioJack4";"TRRS";"https://keeb.io/products/trrs-jack-3-5mm";
3;"D58,D70,D43,D51,D46,D54,D49,D60,D57,D64,D63,D44,D71,D38,D42,D52,D55,D67,D40,D62,D47,D45,D59,D68,D53,D48,D61,D65,D56,D69,D41,D39,D50,D66,D10,D23,D21,D27,D11,D12,D8,D15,D13,D25,D14,D26,D19,D16,D28,D31,D3,D18,D1,D29,D5,D34,D17,D32,D22,D9,D33,D30,D2,D24,D4,D7,D6,D20";"D_DO-35_SOD27_P7.62mm_Horizontal";68;"D";"Matrix Diodes";"https://www.digikey.ca/en/products/detail/onsemi/1N4148/458603";
4;"D72,D37,D73,D36,D35,D74";"D_SOD-882";6;"PESD5V0S1UL";"ESD Protection Diode";"https://www.digikey.ca/en/products/detail/nexperia-usa-inc/PESD5V0S1BA-QF/18108466";
5;"SW34,SW40";"MX-Alps-Choc-2U-StabFlip";2;"SW_Push_45deg";"Switches";"https://chosfox.com/collections/kailh-low-profile-switch-pg1350/products/kailh-chocs?variant=42514647613634";
6;"Brd2,Brd1";"128x64OLED";2;"SSD1306";"OLED Display";"https://www.aliexpress.com/item/1005006700828250.html";
7;"SW35";"SW_PUSH_6mm";1;"LANG";"Language Switch Button";"https://www.digikey.ca/en/products/detail/same-sky-formerly-cui-devices-/TS02-66-50-BK-100-LCR-D/15634294";
8;"A1,A2";"RaspberryPi_Pico_Common_Unspecified";2;"RaspberryPi_Pico";"MCU";"https://www.digikey.ca/en/products/detail/raspberry-pi/SC0915/13684020";
9;"R4,R1,R3,R2";"R_0603_1608Metric";4;"4.7k";"I2C Pull-Up Resistors";"https://www.digikey.ca/en/products/detail/yageo/RC0603FR-074K7L/727212";
10; "";"";1;";"Header Pins";"https://www.digikey.ca/en/products/detail/w-rth-elektronik/61301611121/4846854";
11; "";"";10;"";"Heatset Inserts for Screws";"https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4255/10244656";
12; "";"";10;"";"Screws";"https://www.canadarobotix.com/products/831?variant=14423565533233&country=CA&currency=CAD&gQT=1"